2021-10-25 11:46:59,266 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:46:59,267 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:04,292 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:04,293 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:08,326 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:08,327 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:12,409 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:12,410 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:16,451 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:16,452 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:20,489 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:20,490 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:25,504 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:25,505 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:29,368 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:29,368 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:33,434 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:33,435 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:37,484 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:37,485 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:41,461 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:41,462 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:44,609 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:44,609 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:48,747 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:48,748 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:52,781 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:52,782 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:47:56,936 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:47:56,937 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:00,928 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:00,929 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:04,904 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:04,905 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:08,957 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:08,957 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:13,940 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:13,941 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:19,476 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:19,477 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:23,593 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:23,594 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:28,976 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:28,978 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:33,051 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:33,052 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:37,967 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:37,968 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:42,267 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:42,268 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:48:46,348 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:48:46,348 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:51:35,749 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:51:35,750 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:52:41,385 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:52:41,386 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:54:28,689 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:54:28,689 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:54:55,983 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:54:55,983 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:57:43,575 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:57:43,575 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:59:23,678 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:59:23,678 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:59:28,688 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:59:28,689 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:59:32,730 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:59:32,731 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:59:36,786 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:59:36,787 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:59:39,962 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:59:39,963 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:59:45,033 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:59:45,033 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:59:49,914 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:59:49,914 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:59:54,056 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:59:54,057 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 11:59:58,066 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 11:59:58,067 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:01,905 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:01,906 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:05,933 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:05,934 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:10,041 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:10,042 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:13,983 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:13,984 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:31,428 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:31,429 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:36,517 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:36,518 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:40,651 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:40,653 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:45,841 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:45,842 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:50,087 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:50,088 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:55,218 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:55,219 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:00:59,362 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:00:59,363 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:01:03,540 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:01:03,542 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:01:07,715 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:01:07,716 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:01:12,926 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:01:12,927 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:01:27,329 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:01:27,329 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:01:31,488 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:01:31,489 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:01:35,692 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:01:35,693 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:01:39,847 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:01:39,848 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:01:44,872 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:01:44,873 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:01:48,925 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:01:48,926 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:01:54,113 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:01:54,114 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:07:11,110 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:07:11,110 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:07:17,311 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:07:17,311 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:07:22,590 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:07:22,590 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:07:36,519 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:07:36,519 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:07:40,529 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:07:40,530 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:07:44,659 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
